GAT_Score,IELTS_Score,University_Rating,SOP,LOR,CGPA,Research,Chance_of_Admit
311,91.2,3,1.5,4.0,6.53,0,0.5
274,88.6,1,2.0,4.5,6.07,1,0.4
331,106.7,5,2.5,2.0,6.0,1,0.61
320,99.2,2,3.5,3.5,9.6,0,0.73
280,60.6,3,3.5,1.5,5.49,0,0.3
334,101.1,4,2.5,4.0,8.58,0,0.74
334,102.7,4,4.0,5.0,5.9,1,0.69
283,70.5,1,5.0,3.5,6.69,1,0.45
262,102.6,4,2.0,1.0,9.13,0,0.4
281,119.6,1,2.0,1.0,6.39,0,0.37
312,77.6,1,3.0,3.5,4.86,0,0.35
261,62.3,1,5.0,2.5,8.98,1,0.39
289,111.0,2,3.5,2.0,5.01,0,0.4
297,72.3,3,1.5,3.5,6.32,1,0.44
261,106.7,5,4.5,3.5,4.72,0,0.35
323,84.4,4,5.0,5.0,4.54,1,0.56
319,114.2,3,2.5,2.0,9.91,1,0.8
280,116.5,5,1.5,1.5,7.3,1,0.54
292,83.8,1,1.5,4.0,7.23,0,0.35
335,118.9,3,2.0,1.0,9.11,0,0.66
317,61.7,1,1.0,1.0,6.95,0,0.3
281,94.1,5,2.5,3.0,5.68,1,0.48
308,104.3,3,1.0,3.0,7.34,0,0.46
318,85.7,2,1.5,2.0,4.01,1,0.39
301,99.5,4,4.0,5.0,4.01,0,0.46
319,78.4,5,5.0,1.5,6.76,1,0.63
339,64.6,2,5.0,4.0,4.24,0,0.45
274,110.1,2,2.5,3.5,7.48,0,0.41
321,77.8,1,3.0,1.5,9.63,1,0.63
321,71.7,5,3.0,1.5,6.94,0,0.54
306,72.0,5,3.5,3.5,8.01,1,0.58
321,109.4,3,3.5,3.5,8.49,1,0.72
310,63.9,1,4.0,2.0,7.34,0,0.41
314,89.9,2,2.0,3.5,8.19,1,0.56
323,71.7,4,4.0,3.0,9.88,1,0.69
262,99.1,2,1.0,1.5,9.59,0,0.42
310,107.9,2,3.5,1.0,5.54,1,0.46
266,93.7,4,4.0,5.0,8.35,0,0.54
280,96.9,1,1.0,5.0,4.7,1,0.31
332,97.4,4,5.0,5.0,6.03,1,0.72
298,94.4,3,1.0,5.0,5.29,1,0.47
277,73.1,2,2.5,4.5,7.16,1,0.45
263,99.2,5,2.5,1.5,7.81,1,0.46
319,106.5,4,4.5,2.0,7.4,1,0.72
273,109.4,2,3.5,2.0,6.08,0,0.38
268,64.8,5,3.0,3.5,6.74,0,0.36
312,83.9,4,4.0,2.0,8.94,0,0.66
261,82.2,1,2.0,3.0,7.11,0,0.3
319,115.4,3,5.0,4.0,4.21,0,0.58
330,99.6,4,3.0,1.5,5.49,1,0.56
303,88.4,4,4.5,1.0,8.59,0,0.47
267,117.6,5,5.0,3.0,4.6,1,0.48
306,69.6,2,3.0,2.5,5.93,0,0.37
294,81.7,1,4.5,1.5,5.54,0,0.3
337,97.7,5,4.5,2.5,6.96,1,0.72
340,90.6,1,1.5,2.5,9.11,1,0.61
295,95.4,3,4.5,4.5,6.41,1,0.52
309,105.7,3,2.0,5.0,9.54,0,0.7
263,101.8,4,1.0,5.0,8.44,1,0.51
261,99.4,3,1.5,4.0,5.17,1,0.35
265,102.9,2,4.0,5.0,5.2,1,0.46
313,106.9,4,4.5,3.5,6.18,0,0.62
263,72.6,1,4.0,3.0,4.03,0,0.3
313,101.3,3,3.0,5.0,7.92,0,0.64
322,99.9,2,5.0,2.0,8.48,1,0.67
277,102.3,1,4.5,4.0,5.08,0,0.33
303,74.7,4,4.0,2.0,9.03,1,0.61
293,76.9,2,1.0,4.5,9.4,1,0.44
333,106.3,4,2.0,4.5,5.25,1,0.64
321,82.7,3,1.0,4.0,9.8,0,0.66
273,115.4,3,4.0,4.0,7.61,1,0.6
307,66.8,3,5.0,1.5,5.16,1,0.41
274,70.3,2,2.5,4.0,5.42,0,0.3
331,71.1,5,3.0,4.5,4.08,1,0.48
337,77.1,2,2.5,4.0,6.14,0,0.44
321,114.0,1,5.0,2.5,5.68,1,0.59
299,82.6,2,3.0,1.0,6.78,1,0.45
339,87.7,5,4.5,4.5,9.23,1,0.89
312,85.4,5,1.5,4.0,9.54,0,0.69
283,108.4,5,2.5,5.0,9.02,0,0.66
285,82.6,1,4.5,3.5,9.98,1,0.57
319,109.9,5,2.5,3.5,5.6,0,0.56
300,88.9,4,4.0,3.5,5.27,1,0.49
288,74.6,1,2.0,5.0,5.86,0,0.3
274,85.8,5,4.5,2.0,4.29,1,0.43
304,83.8,1,3.0,5.0,4.86,0,0.39
324,74.5,3,1.5,5.0,6.53,0,0.49
330,67.3,1,4.5,5.0,6.73,0,0.55
268,110.5,5,2.0,5.0,5.88,0,0.47
260,90.9,5,4.0,2.0,7.6,1,0.48
267,74.6,2,2.0,1.0,5.26,0,0.3
322,85.6,1,4.0,2.0,4.1,1,0.37
270,96.4,2,3.5,1.5,5.86,0,0.34
340,103.2,1,2.0,4.5,4.47,1,0.58
267,97.2,1,1.5,4.5,4.79,1,0.3
294,74.0,1,2.5,3.0,4.97,0,0.3
294,66.6,2,4.5,2.5,4.29,1,0.36
292,64.4,1,2.5,4.0,4.46,0,0.3
264,66.5,4,5.0,4.0,9.27,1,0.57
300,80.7,1,5.0,3.0,8.65,0,0.53
287,81.3,3,1.0,2.5,4.22,1,0.3
266,118.7,1,1.5,4.5,7.81,0,0.42
332,61.4,3,4.0,3.5,9.75,0,0.68
331,97.9,3,5.0,4.5,5.28,1,0.65
271,90.7,1,5.0,1.5,8.04,0,0.48
293,68.7,1,4.5,5.0,6.75,0,0.44
292,116.9,5,3.5,2.0,4.74,1,0.55
307,108.7,2,5.0,1.5,9.89,1,0.73
282,73.3,3,1.0,1.0,8.89,0,0.35
321,77.5,3,1.0,1.0,7.38,1,0.51
296,72.0,5,4.0,2.0,8.64,1,0.61
303,78.5,4,3.5,4.0,5.64,1,0.48
294,73.7,1,3.0,1.0,6.76,1,0.39
324,75.5,5,1.5,2.0,8.53,1,0.65
306,91.0,4,2.5,1.5,4.41,0,0.36
337,80.3,5,3.0,3.0,6.97,0,0.63
262,89.4,2,2.5,4.5,6.29,0,0.36
260,61.8,1,3.5,5.0,9.18,0,0.4
264,104.5,5,5.0,4.0,9.23,0,0.57
273,115.7,3,2.0,4.5,5.88,1,0.49
286,119.8,1,2.5,5.0,5.38,1,0.51
268,72.0,3,1.0,3.5,4.56,0,0.3
338,83.0,1,5.0,3.0,5.69,0,0.53
274,118.4,5,1.5,2.0,7.27,0,0.46
301,72.7,2,4.5,4.5,8.52,1,0.57
336,92.4,2,3.0,1.0,4.07,0,0.43
310,108.0,4,4.5,3.5,8.4,1,0.77
322,61.7,1,5.0,2.5,5.04,1,0.45
311,66.3,4,3.5,4.0,4.14,0,0.38
263,71.8,3,5.0,1.5,7.21,0,0.35
282,87.3,5,5.0,4.0,4.21,0,0.43
274,60.9,5,4.5,4.0,5.16,1,0.37
302,85.9,2,3.0,1.0,7.23,0,0.39
288,69.7,3,1.0,3.0,4.84,0,0.3
295,111.0,5,3.5,2.0,5.64,1,0.54
272,89.2,5,2.0,5.0,5.77,0,0.45
291,64.3,5,1.0,5.0,5.41,1,0.46
330,87.8,1,3.5,1.5,4.58,1,0.45
318,88.8,3,2.5,1.0,8.37,0,0.56
287,78.0,3,4.5,1.0,4.61,1,0.36
325,82.1,1,3.5,4.0,4.16,0,0.39
301,118.2,1,4.0,5.0,6.93,1,0.63
304,74.8,3,2.5,3.5,6.58,1,0.49
321,100.6,5,5.0,4.0,4.37,0,0.62
316,99.7,2,4.5,2.0,8.17,1,0.62
265,85.3,3,4.0,4.5,7.06,1,0.43
287,115.9,4,1.5,3.5,5.58,0,0.43
287,106.2,2,4.0,4.0,5.41,0,0.43
303,61.3,5,3.0,1.5,4.79,1,0.36
289,89.1,2,4.5,1.0,6.24,1,0.35
321,66.8,2,1.5,2.5,5.45,1,0.41
334,77.2,2,1.5,4.0,7.24,1,0.53
321,74.3,3,3.5,2.0,9.76,0,0.58
260,105.3,2,2.5,2.5,6.04,0,0.33
286,74.9,1,4.0,5.0,5.5,0,0.3
321,119.6,4,3.5,4.0,5.68,1,0.65
336,67.7,2,1.0,5.0,8.86,0,0.62
262,84.7,2,4.5,1.0,8.79,1,0.47
329,89.4,3,5.0,5.0,8.26,0,0.72
331,86.0,2,1.0,5.0,5.75,0,0.48
286,65.6,1,4.0,5.0,8.63,0,0.48
268,73.5,4,1.0,4.5,6.63,0,0.34
321,91.2,1,4.5,5.0,7.87,1,0.64
296,108.0,4,2.0,3.0,7.14,0,0.49
